Target Item value
ㅏ
ㄱ
가
ㅈ
가자
ㅎ
하자
ㄴ
ㅐ/ㅔ
네
ㅗ
ㄹ
노래
ㅂ
ㅇ
방
노래방
노래방 가자
ㅡ
응
응, 그래
ㅕ
안녕
ㅅ
사랑
ㅛ
사랑해요
ㅁ
감사해요
ㅊ
ㅣ
미안해요
ㅋ
ㅌ
카카오톡
카카오톡 해요?
당연하죠
아니요, 안 해요
ㅑ
그냥
ㅜ
친구
우리
우리 친구하자
좋아요
ㅍ
케이팝 좋아요
ㅓ
정말
ㅠ
뮤직비디오
이 뮤직비디오 정말 좋아요
뭐?
뭐예요?
왜?
왜 그래?
ㄷ
대박
안녕하세요
이름이 뭐예요?
저는 롭이에요
제 친구 이름은 미나예요
만나서 반가워요
뭐 찾아요?
그냥 보고 있어요
이거 어때요?
별로예요
글쎄요
싫어요
그만하세요!
저기요
주세요
저기요, 이거 주세요
알겠어요
조금
조금만 주세요
천천히 말해주세요
얼마예요?
맛있어요
최고예요!
계산해 주세요
카드도 돼요?
현금이 없어요
괜찮아요
수고하세요
어디 있어요?
어떻게 가요?
멀어요?
네, 멀어요
아니요, 가까워요
어디로 갈까요?
기사님, 호텔로 가주세요
이 근처에 세워주세요
무슨 뜻이에요?
영어 해요?
한국어 잘 못해요
한국어 조금 해요
한 번 더 말해주세요
어디서요?
잘 모르겠어요
소주와 맥주
소맥 좋아해요?
주문할게요
이모, 소주 주세요
여기 있어요
건배!
카톡 친구 추가해요
와이파이 돼요?
비밀
비밀번호가 뭐예요?
화장실이 어디예요?
아파요
병원으로 가주세요
어떡해!
파이팅!
일
이
삼
사
오
육
칠
팔
구
십
십일
십이
십삼
십사
십오
이십
삼십
사십
오십
육십
어느
나라
사람
어느 나라 사람이에요?
나
한국
영국
나는 영국 사람이에요
나는 한국 사람이 아니에요
고향
고향이 어디예요?
서울
서울 사람이에요?
저
저는 서울 사람이 아니에요
제주도
저는 제주도 사람이에요
처음
한국은 처음이에요?
네, 처음이에요
아니요, 처음이 아니에요
방문
두 번째 방문이에요
자주
아니요, 자주 와요
한국 음식 좋아해요?
네, 정말 좋아해요
정말 맛있어요
너무 매워요
학생
학생이에요?
아니요, 저는 학생이 아니에요
직업
직업이 뭐예요?
회사원
저는 회사원이에요
취미
취미가 뭐예요?
여행
여행이 취미예요
제
독서
제 취미는 독서예요
