Target Item value
olá
tudo bem?
sim
não
e tu?
também
bom dia
boa tarde
boa noite
até logo
adeus
como
estar
como estás?
estou
bem
mais ou menos
estou mais ou menos
obrigado
obrigada
estou bem, obrigado
parabéns!
parabéns pelo bebé!
feliz aniversário, Luísa!
desculpa
com licença
não faz mal
desculpa, esqueci-me do aniversário
com licença, posso entrar?
boa sorte!
igualmente!
não sei
obrigada e igualmente!
ser
de onde és?
sou de Portugal
sou de Cabo Verde
português
portuguesa
inglês
inglesa
sou inglês
sou americana
és portuguesa?
não, sou espanhola
sim, sou português
chamar
como te chamas?
chamo-me...
chamo-me Raquel, e tu?
o amigo
o meu amigo chama-se Tiago
como se chama a tua amiga?
o marido
a esposa
este é o meu namorado, o João
esta é a minha esposa, a Maria
prazer em conhecer-te!
falar
eu falo inglês
falas português?
sim, falo bem português
falas português muito bem
ele
ela
ele fala alemão?
não, ele fala espanhol
ela fala francês
eles
elas
elas falam italiano
um
uma
dois
duas
uma mesa para dois, por favor
a ementa, por favor
três
quatro
três açordas, por favor
duas francesinhas
cinco
ela quer uma sopa
quero um bacalhau à Braz
a conta, por favor
quanto é, por favor?
seis
sete
são sete euros e cinco cêntimos
oito
são seis euros
divida a conta por sete pessoas
nove
dez
tem troco de dez euros?
fique com o troco
querer
queres ir tomar café?
a bica
o galão
o descafeinado
quero um galão
um pastel de nata
o açúcar
não quero açúcar
ela quer um pastel de nata
gostar
o que gostas de tomar ao pequeno-almoço?
eu gosto de fruta
ele gosta imenso de pão
o queijo
ela não gosta de queijo
gostas de café?
gosto de café com leite
o chá
preciso de um chá quentinho
viajar
as férias
amanhã vou de férias
boas férias!
boa viagem!
o avião
o hotel
vais de avião ou de carro?
ela ficou num hotel de cinco estrelas
quando
quando voltas?
precisar
preciso de ajuda
preciso de um táxi
desculpe
desculpe, pode ajudar-me?
o que precisas?
onde
onde é o hospital?
onde é a farmácia?
preciso de ir ao dentista
precisas de apanhar o comboio
estou perdido
estou perdida
ficar
sabes onde fica a farmácia?
o hospital fica a poucos metros
desculpe, onde é a estação?
onde posso apanhar o metro?
em frente
à direita
à esquerda
onde é a casa de banho?
siga em frente, depois à direita
a clínica fica à esquerda da paragem
apaixonar-se
o Felipe está apaixonado pela Mónica
eles apaixonaram-se à primeira vista
a paixão
o amor
és o amor da minha vida
tenho paixão pelo trabalho
o amor é cego
casar
queres casar-te comigo?
vamos casar-nos em setembro
amar
gosto muito de ti
amo-te
o namorado
a minha namorada faz-me feliz
és tudo para mim
tanto
ele ama-a tanto
tenho saudades tuas
tenho saudades vossas
a mãe
o pai
o irmão
a irmã
mãe, posso sair com os meus amigos?
pergunta ao teu pai
o filho
a minha filha gosta de pintar
tens filhos?
o avô
a avó
o meu avô tem oito irmãs
o primo
como é que se chama a tua prima?
o tio
os meus tios são casados há vinte anos
o sobrinho
a Gabriela gosta imenso da sobrinha
os parentes
o neto
avó, quantas netas tem?
não conheço metade dos meus parentes
novo
o mais novo
mais novo do que...
eu sou a irmã mais nova
velho
o mais velho
mais velho do que
o meu primo é mais velho do que eu
do meio
não és o filho do meio?
o filho único
os gémeos
vocês são gémeos idênticos?
pensar
eu penso que...
ele não pensa antes de falar
pensa bem!
achar
eu acho que vai chover
achas mesmo que ela fez isso?
o maior
a maior
o Vítor acha-se o maior
a Carolina pensa muito nele
problema
achas que há problema?
acho que não
favorito
qual é a tua cor favorita?
