Target Item value
へ
へー！
す
こ
ご
い
すごい！
や
は
ば
やばい
ほ
ん
と
う
に
ほんとうに？
ど
も
どうも
あ
り
か
ありがとう
ち
こんにちは
お
ね
し
おねがいします
さ
よ
な
ら
さようなら
じ
め
はじめまして
ま
え
おなまえは？
わ
た
て
わたしは…です
く
ろ
よろしくおねがいします
の
あのー
ちょ
ちょっと
み
せ
すみません
あのー、ちょっとすみません
いい
いいです
いいですか？
もちろん
もちろん、いいですよ
タ
メ
ダメです
なんですか？
れ
これはなんですか？
そ
そうです
ちがいます
ぞ
はい、どうぞ
どういたしまして
ようこそ
おはよう
こんばんは
おやすみ
け
げんき？
まあまあ
つ
もっと
けっこうです
ふ
あぶない！
ひ
びっくりした！
いたい！
やめてください
ちょっとまってください
しゃ
しょ
じょ
だいじょうぶですか？
だいじょうぶです
えいご
にほんご
わかります
えいごはわかりますか？
はい
いいえ
ちょっとだけ
む
むりです
ゆ
ゆっくりおねがいします
もういちどおねがいします
ごめんなさい
わかりません
おなか
ペ
コ
おなかペコペコ
のど
カ
ラ
のどカラカラ
わたしも
ぱ
かんぱい！
き
いただきます
うまい！
さいこうです！
てんさいですね
ごちそうさまです
いくらですか？
Wi-Fiはありますか？
ハ
パ
ス
ワ
ト
Wi-Fiのパスワードはなんですか？
どこですか？
こっちですか？
そっち
あっち
どっち？
がんばって！
ざんねん！
やったー！
ぬ
る
を
ヘ
ン
パン
サ
サラダ
ナ
バナナ
オ
レ
シ
オレンジ
モ
レモン
ユ
ジュー
ジュース
フ
スープ
チ
チーズ
ヒ
コーヒー
ル
ビール
イ
ワイン
ア
ク
リ
ム
アイスクリーム
ソー
ソース
ロ
ツ
ケ
コロッケ
ホ
テ
フライドポテト
ヤ
ハヤシライス
ミ
ミートソース
ファンタ
スパゲッティー
エ
まっちゃパフェ
ネ
ウ
ミネラルウォーター
キ
セ
ニ
ヌ
ノ
マ
ヲ
ヨ
初めてですか？
初めてです
私も初めてなんです
〜回目
私は3回目です
来られる
一人で来られたんですか？
一人で
一人で来ました
友達と来ました
人見知り
私、人見知りなんです
慣れる
〜たら
慣れたらよく話します。
11時になったら家に帰ります。
家に着いたら電話します。
一、二、三、ダー！
四
五
六
七
八
九
十
一つ
二つ
三つ
四つ
五つ
ここ、いいですか？
いい；よい
よくない
そこ
あそこ
悪い
天気
いい天気ですね
そうですね
今日
寒い
暑い
今日は寒いですね
寒くない
今日もむし暑いですね
初めて
日本は初めてですか？
初めてじゃないです
実は…
二回目です
人
一人
お一人ですか？
一人旅です
旅行です
友達
家族
来る
来ます
じゃあ
よい旅を
またね
どちら？
どちらからですか？
大阪から来ました
出身
ご出身は？
出身は横浜です
どんな？
ところ
大阪ってどんなところですか？
おもしろい
楽しい
楽しいところですよ
よかった！
にぎやかな
静かな
とても
とてもにぎやかなところです
ちなみに…
仕事
ちなみに、お仕事は？
学生
先生
医者
役者です
やっぱり！
え、分かりますか？
おしゃれな
きれいな
ハンサムな
おしゃれだから分かりました
そうなんですか
おもしろそうですね
楽しそうですね
誰？
あなた
私たち
あなたたち
彼
彼女
彼ら
好きです
日本は好きですか？
食べ物
和食
景色
音楽
歴史
私は日本の音楽が好きです
どんなところが好きですか？
変わってますね！
まあ、人それぞれですよね
休みの日
休みの日は何してる？
特に
何も〜（ない）
特に何もしないなぁ
うちで
ゴロゴロする
たいていうちでゴロゴロしてる
ゲームしたり、漫画読んだり...
ゲーム
漫画
読む
~たり~たり（する）
どう？
いい感じ
映画はどうですか？
どんな映画が好きですか？
大好きです
