를/을/ㄹ
가/이
는/은/ㄴ
ㄴ/은
아/어/야/여/애
았/었/였
이다
에
는
로/으로
ㄹ/을
도
게
들
에서
아서/어서/여서
아/어/야/여/애
지
ㄴ다/는다
면/으면
ㅂ니다/습니다
기
와/과
않다
아요/어요/예요/애요/여요
가/이
시/으시
한
는데
며/으며
아니다
겠
그렇다
아야/어야
던
라/으라
그러다
다는
와/과
지
ㅁ/음
니/으니
그런
니까/으니까
면서/으면서
에게
그래
라고/으라고
까지
대하다
이렇다
등
가지다
라는/으라는
지만
나/이나
어
씨
두
다고
때문
아도/어도/애도
다가
그래서
데
ㄹ까/을까
이런
위하다
ㄴ데/은데
번
나다
ㄴ가/은가
너
갖다
그러나
어떻다
못
놓다
죠
나/으나
앞
속
나/이나
인제
냐/으냐
부터
못하다
중
처럼
명
이제
뒤
거든
따르다
말다
날
야/이야
근데
누구
ㅂ니까/습니까
경우
무슨
다음
놈
싶다
아라/어라/여라/거라/너라
내다
ㄴ다고/는다고
두
한테
막
님
단
버리다
무엇
보이다
자신
이거
음
ㄴ지/은지
그런데
어머니
놓다
그때
도록
네/으네
지나다
가지
아버지
없이
로서/으로서
애
아주
는지
그녀
더니
루/으루
라고/이라고
느냐
짓다
쪽
가지다
점
아니
곳
그거
들어오다
묻다
는가
란/으란
동안
터
그러니까
러/으러
거나
나/으나
여러
바로
무녀
모든
는데
라도/이라도
께
세
뿐
말다
이상
에다
아직
하고
거
그럼
줄
자다
보이다
세요/으세요
아/야
라구/으라구
뜻
딱
말씀
았었/었었
떨어지다
세상
의하다
옛날
모습
적
내다
구서
에
넣다
남다
북한
이러하다
나타나다
내용
려고/으려고
로부터/으로부터
시대
생활
국민
모양
밝히다
야
얘기하다
먼저
조사
가운데
놀다
구나
아무
믄/으믄
채
지내다
조사자
다면
니/으니
밑
물론
랑/이랑
및
꼭
의미
나다
못하다
얼마나
ㄴ다면/는다면
듯
돌아가다
마다
부분
상황
이러다
로써/으로써
지
옆
기업
께서
넘다
대
역시
란/이란
올라가다
간
올리다
연구
이제
게
정신
기다리다
해당하다
선생
끝나다
계속
당시
방언
자식
시키다
바
대로
웃음
ㄹ지/을지
의원
또는
이후
고개
조선
또한
나이
하지만
려/으려
신
ㄴ데/은데
동네
안되다
지방
창
나서다
작품
즉
세우다
그대로
대로
양반
정책
진짜
듯
필요
따라서
라면/으라면
아다/어다
려는/으려는
고서
그리다다
여성
면
아래
노인
굉장히
대다
나누다
더욱
아내
군
낳다
듯하다
공부
자네
그만
젊다
그저
걸다
바라보다
자체
이루어지다
달다
관하다
므로/으므로
민족
걷다
데리다
열리다
잠
최근
향하다
얼
잇다
싫다
풀다
식
각
버리다
번째
어쩌다
반
아두/어두
돌리다
대상
아마
빨리
쪼다
당하다
붙이다
머
주인
힘들다
ㅂ시다/읍시다
더라도
놀라다
구조
부모
그리하다
끌다
목소리
든지/이든지
세
댕기다
만큼
아까
이상하다
이래
이놈
붙다
막다
그러하다
표정
오히려
삼다
우선
여러분
자꾸
대
자료
군
나중
모시다
첫
돌
사장
들리다
모으다
당
그리
걔
맞추다
잘하다
깊다
중심
다구
더라
쌀
빼다
듯이
내려오다
눈물
호
대표
영감
담배
죄
만하다
든
대부분
어른
벌써
전하다
집안
발전
아무리
우리나라
의식
거든
저기
뿐
느낌
회장
순간
전체
맡다
모이다
계시다
어서
선
일부
든/이든
가만히
를/을/ㄹ
인물
흐르다
동생
에다가
성
작업
국제
곤
국내
걱정
리
새끼
년대
대신
관련
현상
니깐
들어서다
성격
개발
단체
측
과
통일
적다
사내
춤
무섭다
그날
나쁘다
잃다
체제
살리다
학년
직접
기능
형태
매우
늘
니/이니
않다
영향
불다
분위기
꺼내다
어찌
마리
제대로
마찬가지
논
담다
짓
잖아
방식
들이다
래/으래
행위
뜨다
전부
구하다
대회
마치
자면
금융
혹은
심하다
표현
애기
다가
대다
기
시절
정하다
오래
아야지/어야지/여야지
아저씨
일으키다
상
만약
알려지다
내려가다
때리다
조직
값
방송
키
변하다
장사
듯이
동시
분야
비하다
어찌하다
ㄴ데요/은데요
구체적
이날
집단
떨다
지니다
비다
회
책임
가정
고자
이때
고맙다
외
넘어가다
안다
상당히
여기다
하구
한참
위원회
벌이다
리라/으리라
추다
기간
점
아이구
아무
형제
주로
영어
이리
생명
ㅂ시오
말씀하다
그놈
검찰
스스로
지르다
쳐다보다
내놓다
묵다
형사
조차
몰다
라/이라
으
호랑이
도움
달다
이전
훨씬
차리다
주장
뽑다
우/으우
그리구
밭
사상
약간
과연
짝
뛰다
스님
굿
감정
인생
준비
존재
마련하다
바뀌다
마당
자금
다만
회담
지난해
일반
머
관리
이론
줄
개월
신경
너희
처녀
인하다
려면/으려면
요새
숨
대
핵
늙다
든가/이든가
시작되다
ㄹ수록/을수록
교사
사회적
주변
셈
만큼
정치적
이해
부리다
진짜
여인
돕다
아이고
자는
세력
감독
올라오다
청년
러시아
박사
대문
남기다
평가
업체
후보
뜨다
설명
반드시
전국
어린이
차원
공동
찾아가다
노동
끊다
공간
편
빛
터지다
떼다
냥
확인하다
드러나다
분명하다
반대
라고/으라고
뭣
태어나다
벗어나다
종
매
겪다
이기다
새로
거치다
한편
잠깐
위원
갖추다
서/이서
녀석
쥐다
주민
딴
펴다
쌓다
알리다
자고
사태
석
마치다
냄새
둘째
걸치다
광고
자라다
거
오늘날
든지
인사
형님
정권
사정
낮
찾아오다
저거
중간
다루다
분명히
달리
아다가/어다가
놓이다
한번
새벽
피다
현
매다
낫다
그동안
허리
흔히
집다
쓰이다
끼다
당장
여
증인
마누라
점점
잘못
중앙
바쁘다
똑같다
경기
미리
건설
규모
냐면
위기
발표하다
인식
시설
차지하다
얼른
소식
덕
각각
남북
혁명
고만
상대
글쎄
형식
대책
결코
권
현장
아부지
조
흘리다
맨
출신
떠오르다
위원장
며느리
귀신
멀리
단
꼴
불구하다
권력
에이
자세
심다
희다
다고
이어지다
살펴보다
노동자
주위
방안
부부
피우다
미안하다
신랑
넘기다
알
기록
쫓다
그곳
눈치
실제
닦다
하나님
그릇
기사
세월
자손
따로
식구
싣다
기르다
시선
따지다
비롯하다
협상
던지
살피다
행사
꺼
시인
무대
물다
잡히다
지마는
씻다
상품
달다
측면
댁
평
다니
띠다
통신
예전
나름
백성
해방
마디
어둡다
맺다
전문
편하다
갚다
노릇
반응
이야기하다
저렇다
기본
예정
달라지다
소문
읍
어떠하다
농사
싸움
단어
현대
계시다
첫째
맘
엄청나다
중
조정
너무나
늘다
경제적
헌
따위
그렇지만
마저
다가오다
이끌다
오전
바닥
목사
도대체
다하다
설화
거짓말
제시하다
걸음
각종
제사
문장
편
경쟁
해외
농민
표현하다
관계자
깔다
원칙
철학
까닭
늘어나다
민중
갈등
지적하다
특징
건너다
한마디
위치
체계
유지하다
그전
벌어지다
한
요소
